 frequency       AmagdB          Aphdeg         
 1.00000000e-01  1.10444729e+02 -1.78701702e+00 
 2.74804848e+00  1.08055728e+02 -4.06090035e+01 
 2.90679654e+00  1.07842339e+02 -4.22050376e+01 
 3.07471508e+00  1.07615390e+02 -4.38098201e+01 
 3.25233387e+00  1.07374774e+02 -4.54183473e+01 
 3.44021326e+00  1.07120470e+02 -4.70255571e+01 
 3.63894599e+00  1.06852544e+02 -4.86264081e+01 
 3.84915902e+00  1.06571145e+02 -5.02159579e+01 
 4.07151555e+00  1.06276504e+02 -5.17894382e+01 
 4.30671707e+00  1.05968926e+02 -5.33423229e+01 
 4.55550561e+00  1.05648784e+02 -5.48703878e+01 
 4.81866605e+00  1.05316511e+02 -5.63697601e+01 
 5.09702863e+00  1.04972591e+02 -5.78369556e+01 
 5.39147154e+00  1.04617547e+02 -5.92689056e+01 
 5.70292370e+00  1.04251932e+02 -6.06629701e+01 
 6.03236769e+00  1.03876324e+02 -6.20169419e+01 
 6.38084285e+00  1.03491309e+02 -6.33290401e+01 
 6.74944857e+00  1.03097479e+02 -6.45978950e+01 
 7.13934775e+00  1.02695420e+02 -6.58225266e+01 
 7.55177045e+00  1.02285712e+02 -6.70023176e+01 
 7.98801781e+00  1.01868915e+02 -6.81369831e+01 
 8.44946611e+00  1.01445571e+02 -6.92265378e+01 
 8.93757115e+00  1.01016200e+02 -7.02712618e+01 
 9.45387283e+00  1.00581295e+02 -7.12716676e+01 
 1.00000000e+01  1.00141320e+02 -7.22284668e+01 
 1.05776756e+01  9.96967151e+01 -7.31425391e+01 
 1.11887221e+01  9.92478871e+01 -7.40149032e+01 
 1.18350673e+01  9.87952167e+01 -7.48466896e+01 
 1.25187503e+01  9.83390558e+01 -7.56391170e+01 
 1.32419279e+01  9.78797294e+01 -7.63934697e+01 
 1.40068818e+01  9.74175364e+01 -7.71110787e+01 
 1.48160252e+01  9.69527509e+01 -7.77933053e+01 
 1.56719108e+01  9.64856235e+01 -7.84415258e+01 
 1.65772389e+01  9.60163829e+01 -7.90571197e+01 
 1.75348655e+01  9.55452375e+01 -7.96414589e+01 
 1.85478119e+01  9.50723763e+01 -8.01958994e+01 
 1.96192737e+01  9.45979712e+01 -8.07217739e+01 
 2.07526313e+01  9.41221775e+01 -8.12203858e+01 
 2.19514602e+01  9.36451359e+01 -8.16930053e+01 
 2.32195425e+01  9.31669734e+01 -8.21408653e+01 
 2.45608788e+01  9.26878046e+01 -8.25651593e+01 
 2.59797009e+01  9.22077329e+01 -8.29670390e+01 
 2.74804848e+01  9.17268512e+01 -8.33476137e+01 
 2.90679654e+01  9.12452434e+01 -8.37079493e+01 
 3.07471508e+01  9.07629846e+01 -8.40490683e+01 
 3.25233387e+01  9.02801427e+01 -8.43719497e+01 
 3.44021326e+01  8.97967782e+01 -8.46775300e+01 
 3.63894599e+01  8.93129458e+01 -8.49667034e+01 
 3.84915902e+01  8.88286945e+01 -8.52403231e+01 
 4.07151555e+01  8.83440681e+01 -8.54992023e+01 
 4.30671707e+01  8.78591059e+01 -8.57441153e+01 
 4.55550561e+01  8.73738434e+01 -8.59757988e+01 
 4.81866605e+01  8.68883119e+01 -8.61949534e+01 
 5.09702863e+01  8.64025400e+01 -8.64022447e+01 
 5.39147154e+01  8.59165529e+01 -8.65983049e+01 
 5.70292370e+01  8.54303732e+01 -8.67837342e+01 
 6.03236769e+01  8.49440215e+01 -8.69591020e+01 
 6.38084285e+01  8.44575157e+01 -8.71249484e+01 
 6.74944857e+01  8.39708723e+01 -8.72817853e+01 
 7.13934775e+01  8.34841057e+01 -8.74300983e+01 
 7.55177045e+01  8.29972291e+01 -8.75703471e+01 
 7.98801781e+01  8.25102540e+01 -8.77029676e+01 
 8.44946611e+01  8.20231908e+01 -8.78283725e+01 
 8.93757115e+01  8.15360490e+01 -8.79469525e+01 
 9.45387283e+01  8.10488368e+01 -8.80590777e+01 
 1.00000000e+02  8.05615617e+01 -8.81650984e+01 
 1.05776756e+02  8.00742304e+01 -8.82653462e+01 
 1.11887221e+02  7.95868488e+01 -8.83601348e+01 
 1.18350673e+02  7.90994222e+01 -8.84497612e+01 
 1.25187503e+02  7.86119555e+01 -8.85345065e+01 
 1.32419279e+02  7.81244529e+01 -8.86146364e+01 
 1.40068818e+02  7.76369182e+01 -8.86904026e+01 
 1.48160252e+02  7.71493548e+01 -8.87620430e+01 
 1.56719108e+02  7.66617658e+01 -8.88297827e+01 
 1.65772389e+02  7.61741539e+01 -8.88938347e+01 
 1.75348655e+02  7.56865214e+01 -8.89544005e+01 
 1.85478119e+02  7.51988706e+01 -8.90116704e+01 
 1.96192737e+02  7.47112035e+01 -8.90658248e+01 
 2.07526313e+02  7.42235217e+01 -8.91170342e+01 
 2.19514602e+02  7.37358269e+01 -8.91654597e+01 
 2.32195425e+02  7.32481204e+01 -8.92112539e+01 
 2.45608788e+02  7.27604034e+01 -8.92545610e+01 
 2.59797009e+02  7.22726771e+01 -8.92955174e+01 
 2.74804848e+02  7.17849424e+01 -8.93342522e+01 
