 frequency       HctmagdB        HscmagdB       
 3.80189396e+01 -6.27293268e-03 -6.66676713e-03 
 3.83707245e+01 -6.38946946e-03 -6.79061468e-03 
 3.87257645e+01 -6.50816960e-03 -6.91676109e-03 
 3.90840896e+01 -6.62907321e-03 -7.04524896e-03 
 3.94457302e+01 -6.75222113e-03 -7.17612170e-03 
 3.98107171e+01 -6.87765494e-03 -7.30942348e-03 
 4.01790811e+01 -7.00541702e-03 -7.44519932e-03 
 4.05508535e+01 -7.13555051e-03 -7.58349506e-03 
 4.09260660e+01 -7.26809936e-03 -7.72435737e-03 
 4.13047502e+01 -7.40310831e-03 -7.86783382e-03 
 4.16869383e+01 -7.54062295e-03 -8.01397281e-03 
 4.20726628e+01 -7.68068970e-03 -8.16282367e-03 
 4.24619564e+01 -7.82335585e-03 -8.31443662e-03 
 4.28548520e+01 -7.96866954e-03 -8.46886283e-03 
 4.32513831e+01 -8.11667981e-03 -8.62615439e-03 
 4.36515832e+01 -8.26743661e-03 -8.78636435e-03 
 4.40554864e+01 -8.42099082e-03 -8.94954676e-03 
 4.44631267e+01 -8.57739422e-03 -9.11575665e-03 
 4.48745390e+01 -8.73669960e-03 -9.28505007e-03 
 4.52897580e+01 -8.89896067e-03 -9.45748410e-03 
 4.57088190e+01 -9.06423217e-03 -9.63311688e-03 
 4.61317575e+01 -9.23256983e-03 -9.81200761e-03 
 4.65586094e+01 -9.40403041e-03 -9.99421658e-03 
 4.69894109e+01 -9.57867173e-03 -1.01798052e-02 
 4.74241985e+01 -9.75655265e-03 -1.03688360e-02 
 4.78630092e+01 -9.93773313e-03 -1.05613727e-02 
 4.83058802e+01 -1.01222742e-02 -1.07574802e-02 
 4.87528490e+01 -1.03102382e-02 -1.09572244e-02 
 4.92039536e+01 -1.05016882e-02 -1.11606727e-02 
 4.96592321e+01 -1.06966889e-02 -1.13678937e-02 
 5.01187234e+01 -1.08953060e-02 -1.15789569e-02 
 5.05824662e+01 -1.10976063e-02 -1.17939336e-02 
 5.10505000e+01 -1.13036579e-02 -1.20128960e-02 
 5.15228645e+01 -1.15135303e-02 -1.22359179e-02 
 5.19995997e+01 -1.17272940e-02 -1.24630743e-02 
 5.24807460e+01 -1.19450212e-02 -1.26944416e-02 
 5.29663444e+01 -1.21667849e-02 -1.29300977e-02 
 5.34564359e+01 -1.23926599e-02 -1.31701218e-02 
 5.39510623e+01 -1.26227221e-02 -1.34145947e-02 
 5.44502653e+01 -1.28570490e-02 -1.36635985e-02 
 5.49540874e+01 -1.30957194e-02 -1.39172169e-02 
 5.54625713e+01 -1.33388135e-02 -1.41755352e-02 
 5.59757601e+01 -1.35864130e-02 -1.44386402e-02 
 5.64936975e+01 -1.38386013e-02 -1.47066203e-02 
