 frequency       HctmagdB        Hsc1magdB       Hsc2magdB       Hsc3magdB       Hsc4magdB       Hsc5magdB      
 1.34143463e+04 -2.25754584e+01 -2.24634012e+01 -2.25810796e+01 -2.25814311e+01 -2.25814316e+01 -2.25814316e+01 
 1.36145455e+04 -2.27034303e+01 -2.25803191e+01 -2.27012479e+01 -2.27016201e+01 -2.27016206e+01 -2.27016206e+01 
 1.38147447e+04 -2.28295540e+01 -2.26952371e+01 -2.28194465e+01 -2.28198402e+01 -2.28198408e+01 -2.28198408e+01 
 1.40149439e+04 -2.29538819e+01 -2.28082083e+01 -2.29357278e+01 -2.29361439e+01 -2.29361445e+01 -2.29361445e+01 
 1.42151431e+04 -2.30764640e+01 -2.29192835e+01 -2.30501418e+01 -2.30505812e+01 -2.30505818e+01 -2.30505818e+01 
 1.44153423e+04 -2.31973485e+01 -2.30285116e+01 -2.31627365e+01 -2.31632001e+01 -2.31632008e+01 -2.31632008e+01 
 1.46155415e+04 -2.33165816e+01 -2.31359393e+01 -2.32735581e+01 -2.32740468e+01 -2.32740476e+01 -2.32740476e+01 
 1.48157407e+04 -2.34342075e+01 -2.32416117e+01 -2.33826508e+01 -2.33831656e+01 -2.33831664e+01 -2.33831664e+01 
 1.50159399e+04 -2.35502689e+01 -2.33455720e+01 -2.34900570e+01 -2.34905988e+01 -2.34905997e+01 -2.34905997e+01 
 1.52161391e+04 -2.36648065e+01 -2.34478619e+01 -2.35958175e+01 -2.35963874e+01 -2.35963883e+01 -2.35963883e+01 
 1.54163383e+04 -2.37778598e+01 -2.35485213e+01 -2.36999715e+01 -2.37005705e+01 -2.37005715e+01 -2.37005715e+01 
 1.56165375e+04 -2.38894666e+01 -2.36475888e+01 -2.38025568e+01 -2.38031858e+01 -2.38031869e+01 -2.38031869e+01 
 1.58167367e+04 -2.39996631e+01 -2.37451015e+01 -2.39036096e+01 -2.39042698e+01 -2.39042710e+01 -2.39042710e+01 
 1.60169359e+04 -2.41084846e+01 -2.38410952e+01 -2.40031649e+01 -2.40038573e+01 -2.40038585e+01 -2.40038585e+01 
 1.62171351e+04 -2.42159648e+01 -2.39356043e+01 -2.41012563e+01 -2.41019819e+01 -2.41019833e+01 -2.41019833e+01 
 1.64173343e+04 -2.43221361e+01 -2.40286620e+01 -2.41979162e+01 -2.41986762e+01 -2.41986777e+01 -2.41986777e+01 
 1.66175335e+04 -2.44270301e+01 -2.41203005e+01 -2.42931759e+01 -2.42939714e+01 -2.42939729e+01 -2.42939729e+01 
 1.68177327e+04 -2.45306768e+01 -2.42105507e+01 -2.43870654e+01 -2.43878975e+01 -2.43878992e+01 -2.43878992e+01 
 1.70179319e+04 -2.46331057e+01 -2.42994426e+01 -2.44796138e+01 -2.44804837e+01 -2.44804855e+01 -2.44804855e+01 
 1.72181311e+04 -2.47343447e+01 -2.43870051e+01 -2.45708493e+01 -2.45717581e+01 -2.45717600e+01 -2.45717600e+01 
 1.74183303e+04 -2.48344212e+01 -2.44732661e+01 -2.46607988e+01 -2.46617477e+01 -2.46617498e+01 -2.46617498e+01 
