 frequency       HctmagdB        HscmagdB       
 1.42150721e+04 -2.30764208e+01 -2.30505415e+01 
 1.43151712e+04 -2.31370723e+01 -2.31070754e+01 
 1.44152703e+04 -2.31973053e+01 -2.31631606e+01 
 1.45153694e+04 -2.32571255e+01 -2.32188027e+01 
 1.46154685e+04 -2.33165384e+01 -2.32740074e+01 
 1.47155676e+04 -2.33755495e+01 -2.33287802e+01 
 1.48156667e+04 -2.34341643e+01 -2.33831263e+01 
 1.49157658e+04 -2.34923880e+01 -2.34370511e+01 
 1.50158649e+04 -2.35502256e+01 -2.34905597e+01 
 1.51159640e+04 -2.36076824e+01 -2.35436572e+01 
 1.52160631e+04 -2.36647633e+01 -2.35963484e+01 
 1.53161622e+04 -2.37214731e+01 -2.36486383e+01 
 1.54162613e+04 -2.37778166e+01 -2.37005317e+01 
 1.55163604e+04 -2.38337985e+01 -2.37520331e+01 
 1.56164595e+04 -2.38894233e+01 -2.38031472e+01 
 1.57165586e+04 -2.39446957e+01 -2.38538785e+01 
 1.58166577e+04 -2.39996199e+01 -2.39042313e+01 
 1.59167568e+04 -2.40542004e+01 -2.39542101e+01 
 1.60168559e+04 -2.41084414e+01 -2.40038190e+01 
 1.61169550e+04 -2.41623471e+01 -2.40530622e+01 
 1.62170541e+04 -2.42159215e+01 -2.41019438e+01 
 1.63171532e+04 -2.42691688e+01 -2.41504679e+01 
 1.64172523e+04 -2.43220929e+01 -2.41986383e+01 
 1.65173514e+04 -2.43746976e+01 -2.42464590e+01 
 1.66174505e+04 -2.44269868e+01 -2.42939337e+01 
 1.67175495e+04 -2.44789642e+01 -2.43410661e+01 
 1.68176486e+04 -2.45306336e+01 -2.43878600e+01 
 1.69177477e+04 -2.45819984e+01 -2.44343189e+01 
 1.70178468e+04 -2.46330624e+01 -2.44804465e+01 
 1.71179459e+04 -2.46838289e+01 -2.45262460e+01 
 1.72180450e+04 -2.47343014e+01 -2.45717211e+01 
 1.73181441e+04 -2.47844833e+01 -2.46168749e+01 
 1.74182432e+04 -2.48343780e+01 -2.46617109e+01 
 1.75183423e+04 -2.48839885e+01 -2.47062322e+01 
 1.76184414e+04 -2.49333183e+01 -2.47504422e+01 
 1.77185405e+04 -2.49823703e+01 -2.47943437e+01 
 1.78186396e+04 -2.50311478e+01 -2.48379401e+01 
 1.79187387e+04 -2.50796537e+01 -2.48812343e+01 
 1.80188378e+04 -2.51278911e+01 -2.49242292e+01 
 1.81189369e+04 -2.51758629e+01 -2.49669278e+01 
 1.82190360e+04 -2.52235720e+01 -2.50093331e+01 
 1.83191351e+04 -2.52710213e+01 -2.50514477e+01 
 1.84192342e+04 -2.53182135e+01 -2.50932745e+01 
 1.85193333e+04 -2.53651515e+01 -2.51348163e+01 
 1.86194324e+04 -2.54118379e+01 -2.51760758e+01 
 1.87195315e+04 -2.54582754e+01 -2.52170555e+01 
 1.88196306e+04 -2.55044667e+01 -2.52577581e+01 
 1.89197297e+04 -2.55504143e+01 -2.52981862e+01 
 1.90198288e+04 -2.55961208e+01 -2.53383423e+01 
 1.91199279e+04 -2.56415887e+01 -2.53782289e+01 
 1.92200270e+04 -2.56868205e+01 -2.54178485e+01 
 1.93201261e+04 -2.57318185e+01 -2.54572034e+01 
 1.94202252e+04 -2.57765853e+01 -2.54962960e+01 
 1.95203243e+04 -2.58211232e+01 -2.55351287e+01 
 1.96204234e+04 -2.58654344e+01 -2.55737037e+01 
 1.97205225e+04 -2.59095213e+01 -2.56120234e+01 
 1.98206216e+04 -2.59533861e+01 -2.56500900e+01 
 1.99207207e+04 -2.59970311e+01 -2.56879056e+01 
 2.00208198e+04 -2.60404584e+01 -2.57254724e+01 
 2.01209189e+04 -2.60836703e+01 -2.57627926e+01 
