 frequency       Hph1magdB       Hph2magdB      
 5.12861384e+02 -1.04257756e+00 -1.04257756e+00 
 5.24807460e+02 -1.08603432e+00 -1.08603432e+00 
 5.37031796e+02 -1.13107774e+00 -1.13107774e+00 
 5.49540874e+02 -1.17774846e+00 -1.17774846e+00 
 5.62341325e+02 -1.22608693e+00 -1.22608693e+00 
 5.75439937e+02 -1.27613329e+00 -1.27613329e+00 
 5.88843655e+02 -1.32792726e+00 -1.32792726e+00 
 6.02559586e+02 -1.38150806e+00 -1.38150806e+00 
 6.16595002e+02 -1.43691426e+00 -1.43691426e+00 
 6.30957344e+02 -1.49418374e+00 -1.49418374e+00 
 6.45654229e+02 -1.55335348e+00 -1.55335348e+00 
 6.60693448e+02 -1.61445954e+00 -1.61445954e+00 
 6.76082975e+02 -1.67753690e+00 -1.67753690e+00 
 6.91830971e+02 -1.74261932e+00 -1.74261932e+00 
 7.07945784e+02 -1.80973929e+00 -1.80973929e+00 
 7.24435960e+02 -1.87892788e+00 -1.87892788e+00 
 7.41310241e+02 -1.95021460e+00 -1.95021460e+00 
 7.58577575e+02 -2.02362736e+00 -2.02362736e+00 
 7.76247117e+02 -2.09919233e+00 -2.09919233e+00 
 7.94328235e+02 -2.17693381e+00 -2.17693381e+00 
 8.12830516e+02 -2.25687422e+00 -2.25687422e+00 
 8.31763771e+02 -2.33903392e+00 -2.33903392e+00 
 8.51138038e+02 -2.42343118e+00 -2.42343118e+00 
 8.70963590e+02 -2.51008210e+00 -2.51008210e+00 
 8.91250938e+02 -2.59900054e+00 -2.59900054e+00 
 9.12010839e+02 -2.69019806e+00 -2.69019806e+00 
 9.33254301e+02 -2.78368387e+00 -2.78368387e+00 
 9.54992586e+02 -2.87946481e+00 -2.87946481e+00 
 9.77237221e+02 -2.97754530e+00 -2.97754530e+00 
 1.00000000e+03 -3.07792731e+00 -3.07792731e+00 
 1.02329299e+03 -3.18061039e+00 -3.18061039e+00 
 1.04712855e+03 -3.28559165e+00 -3.28559165e+00 
 1.07151931e+03 -3.39286576e+00 -3.39286576e+00 
 1.09647820e+03 -3.50242500e+00 -3.50242500e+00 
 1.12201845e+03 -3.61425927e+00 -3.61425927e+00 
 1.14815362e+03 -3.72835613e+00 -3.72835613e+00 
 1.17489755e+03 -3.84470088e+00 -3.84470088e+00 
 1.20226443e+03 -3.96327659e+00 -3.96327659e+00 
 1.23026877e+03 -4.08406417e+00 -4.08406417e+00 
 1.25892541e+03 -4.20704247e+00 -4.20704247e+00 
 1.28824955e+03 -4.33218835e+00 -4.33218835e+00 
 1.31825674e+03 -4.45947676e+00 -4.45947676e+00 
 1.34896288e+03 -4.58888085e+00 -4.58888085e+00 
 1.38038426e+03 -4.72037206e+00 -4.72037206e+00 
 1.41253754e+03 -4.85392024e+00 -4.85392024e+00 
 1.44543977e+03 -4.98949373e+00 -4.98949373e+00 
 1.47910839e+03 -5.12705951e+00 -5.12705951e+00 
