 frequency       Hph1magdB       Hph2magdB      
 4.16869383e+04 -2.39454294e+01 -2.39454294e+01 
 4.26579519e+04 -2.46222428e+01 -2.46222428e+01 
 4.36515832e+04 -2.52950969e+01 -2.52950969e+01 
 4.46683592e+04 -2.59641955e+01 -2.59641955e+01 
 4.57088190e+04 -2.66297319e+01 -2.66297319e+01 
 4.67735141e+04 -2.72918896e+01 -2.72918896e+01 
 4.78630092e+04 -2.79508420e+01 -2.79508420e+01 
 4.89778819e+04 -2.86067531e+01 -2.86067531e+01 
 5.01187234e+04 -2.92597777e+01 -2.92597777e+01 
 5.12861384e+04 -2.99100621e+01 -2.99100621e+01 
 5.24807460e+04 -3.05577441e+01 -3.05577441e+01 
 5.37031796e+04 -3.12029537e+01 -3.12029537e+01 
 5.49540874e+04 -3.18458134e+01 -3.18458134e+01 
 5.62341325e+04 -3.24864385e+01 -3.24864385e+01 
 5.75439937e+04 -3.31249379e+01 -3.31249379e+01 
 5.88843655e+04 -3.37614139e+01 -3.37614139e+01 
 6.02559586e+04 -3.43959629e+01 -3.43959629e+01 
 6.16595002e+04 -3.50286755e+01 -3.50286755e+01 
 6.30957344e+04 -3.56596371e+01 -3.56596371e+01 
 6.45654229e+04 -3.62889280e+01 -3.62889280e+01 
 6.60693448e+04 -3.69166238e+01 -3.69166238e+01 
 6.76082975e+04 -3.75427953e+01 -3.75427953e+01 
 6.91830971e+04 -3.81675094e+01 -3.81675094e+01 
 7.07945784e+04 -3.87908286e+01 -3.87908286e+01 
 7.24435960e+04 -3.94128117e+01 -3.94128117e+01 
 7.41310241e+04 -4.00335140e+01 -4.00335140e+01 
 7.58577575e+04 -4.06529871e+01 -4.06529871e+01 
 7.76247117e+04 -4.12712794e+01 -4.12712794e+01 
 7.94328235e+04 -4.18884362e+01 -4.18884362e+01 
 8.12830516e+04 -4.25044998e+01 -4.25044998e+01 
 8.31763771e+04 -4.31195098e+01 -4.31195098e+01 
 8.51138038e+04 -4.37335027e+01 -4.37335027e+01 
 8.70963590e+04 -4.43465129e+01 -4.43465129e+01 
 8.91250938e+04 -4.49585720e+01 -4.49585720e+01 
 9.12010839e+04 -4.55697093e+01 -4.55697093e+01 
 9.33254301e+04 -4.61799518e+01 -4.61799518e+01 
 9.54992586e+04 -4.67893244e+01 -4.67893244e+01 
 9.77237221e+04 -4.73978496e+01 -4.73978496e+01 
 1.00000000e+05 -4.80055483e+01 -4.80055483e+01 
 1.02329299e+05 -4.86124389e+01 -4.86124389e+01 
 1.04712855e+05 -4.92185383e+01 -4.92185383e+01 
 1.07151931e+05 -4.98238612e+01 -4.98238612e+01 
 1.09647820e+05 -5.04284208e+01 -5.04284208e+01 
 1.12201845e+05 -5.10322281e+01 -5.10322281e+01 
 1.14815362e+05 -5.16352929e+01 -5.16352929e+01 
 1.17489755e+05 -5.22376227e+01 -5.22376227e+01 
 1.20226443e+05 -5.28392238e+01 -5.28392238e+01 
 1.23026877e+05 -5.34401005e+01 -5.34401005e+01 
 1.25892541e+05 -5.40402556e+01 -5.40402556e+01 
 1.28824955e+05 -5.46396902e+01 -5.46396902e+01 
 1.31825674e+05 -5.52384039e+01 -5.52384039e+01 
 1.34896288e+05 -5.58363946e+01 -5.58363946e+01 
 1.38038426e+05 -5.64336586e+01 -5.64336586e+01 
 1.41253754e+05 -5.70301906e+01 -5.70301906e+01 
 1.44543977e+05 -5.76259835e+01 -5.76259835e+01 
 1.47910839e+05 -5.82210287e+01 -5.82210287e+01 
 1.51356125e+05 -5.88153161e+01 -5.88153161e+01 
 1.54881662e+05 -5.94088337e+01 -5.94088337e+01 
 1.58489319e+05 -6.00015679e+01 -6.00015679e+01 
 1.62181010e+05 -6.05935033e+01 -6.05935033e+01 
 1.65958691e+05 -6.11846227e+01 -6.11846227e+01 
 1.69824365e+05 -6.17749074e+01 -6.17749074e+01 
 1.73780083e+05 -6.23643365e+01 -6.23643365e+01 
 1.77827941e+05 -6.29528875e+01 -6.29528875e+01 
 1.81970086e+05 -6.35405357e+01 -6.35405357e+01 
 1.86208714e+05 -6.41272547e+01 -6.41272547e+01 
 1.90546072e+05 -6.47130158e+01 -6.47130158e+01 
 1.94984460e+05 -6.52977884e+01 -6.52977884e+01 
 1.99526231e+05 -6.58815396e+01 -6.58815396e+01 
 2.04173794e+05 -6.64642343e+01 -6.64642343e+01 
 2.08929613e+05 -6.70458350e+01 -6.70458350e+01 
 2.13796209e+05 -6.76263018e+01 -6.76263018e+01 
 2.18776162e+05 -6.82055925e+01 -6.82055925e+01 
 2.23872114e+05 -6.87836619e+01 -6.87836619e+01 
 2.29086765e+05 -6.93604625e+01 -6.93604625e+01 
 2.34422882e+05 -6.99359435e+01 -6.99359435e+01 
 2.39883292e+05 -7.05100517e+01 -7.05100517e+01 
 2.45470892e+05 -7.10827304e+01 -7.10827304e+01 
 2.51188643e+05 -7.16539199e+01 -7.16539199e+01 
 2.57039578e+05 -7.22235571e+01 -7.22235571e+01 
 2.63026799e+05 -7.27915754e+01 -7.27915754e+01 
 2.69153480e+05 -7.33579045e+01 -7.33579045e+01 
 2.75422870e+05 -7.39224703e+01 -7.39224703e+01 
 2.81838293e+05 -7.44851949e+01 -7.44851949e+01 
 2.88403150e+05 -7.50459957e+01 -7.50459957e+01 
 2.95120923e+05 -7.56047863e+01 -7.56047863e+01 
 3.01995172e+05 -7.61614751e+01 -7.61614751e+01 
 3.09029543e+05 -7.67159660e+01 -7.67159660e+01 
 3.16227766e+05 -7.72681577e+01 -7.72681577e+01 
 3.23593657e+05 -7.78179437e+01 -7.78179437e+01 
 3.31131121e+05 -7.83652115e+01 -7.83652115e+01 
 3.38844156e+05 -7.89098431e+01 -7.89098431e+01 
 3.46736850e+05 -7.94517139e+01 -7.94517139e+01 
 3.54813389e+05 -7.99906931e+01 -7.99906931e+01 
 3.63078055e+05 -8.05266427e+01 -8.05266427e+01 
 3.71535229e+05 -8.10594176e+01 -8.10594176e+01 
 3.80189396e+05 -8.15888648e+01 -8.15888648e+01 
 3.89045145e+05 -8.21148236e+01 -8.21148236e+01 
 3.98107171e+05 -8.26371243e+01 -8.26371243e+01 
 4.07380278e+05 -8.31555885e+01 -8.31555885e+01 
 4.16869383e+05 -8.36700281e+01 -8.36700281e+01 
 4.26579519e+05 -8.41802450e+01 -8.41802450e+01 
 4.36515832e+05 -8.46860304e+01 -8.46860304e+01 
 4.46683592e+05 -8.51871643e+01 -8.51871643e+01 
 4.57088190e+05 -8.56834147e+01 -8.56834147e+01 
 4.67735141e+05 -8.61745367e+01 -8.61745367e+01 
 4.78630092e+05 -8.66602725e+01 -8.66602725e+01 
 4.89778819e+05 -8.71403496e+01 -8.71403496e+01 
 5.01187234e+05 -8.76144804e+01 -8.76144804e+01 
 5.12861384e+05 -8.80823616e+01 -8.80823616e+01 
 5.24807460e+05 -8.85436723e+01 -8.85436723e+01 
 5.37031796e+05 -8.89980738e+01 -8.89980738e+01 
 5.49540874e+05 -8.94452077e+01 -8.94452077e+01 
 5.62341325e+05 -8.98846951e+01 -8.98846951e+01 
 5.75439937e+05 -9.03161350e+01 -9.03161350e+01 
 5.88843655e+05 -9.07391027e+01 -9.07391027e+01 
 6.02559586e+05 -9.11531485e+01 -9.11531485e+01 
 6.16595002e+05 -9.15577955e+01 -9.15577955e+01 
 6.30957344e+05 -9.19525379e+01 -9.19525379e+01 
 6.45654229e+05 -9.23368388e+01 -9.23368388e+01 
 6.60693448e+05 -9.27101279e+01 -9.27101279e+01 
 6.76082975e+05 -9.30717990e+01 -9.30717990e+01 
 6.91830971e+05 -9.34212071e+01 -9.34212071e+01 
 7.07945784e+05 -9.37576654e+01 -9.37576654e+01 
 7.24435960e+05 -9.40804420e+01 -9.40804420e+01 
 7.41310241e+05 -9.43887559e+01 -9.43887559e+01 
 7.58577575e+05 -9.46817729e+01 -9.46817729e+01 
 7.76247117e+05 -9.49586013e+01 -9.49586013e+01 
 7.94328235e+05 -9.52182864e+01 -9.52182864e+01 
 8.12830516e+05 -9.54598047e+01 -9.54598047e+01 
 8.31763771e+05 -9.56820580e+01 -9.56820580e+01 
 8.51138038e+05 -9.58838653e+01 -9.58838653e+01 
 8.70963590e+05 -9.60639553e+01 -9.60639553e+01 
 8.91250938e+05 -9.62209570e+01 -9.62209570e+01 
 9.12010839e+05 -9.63533887e+01 -9.63533887e+01 
 9.33254301e+05 -9.64596467e+01 -9.64596467e+01 
 9.54992586e+05 -9.65379909e+01 -9.65379909e+01 
 9.77237221e+05 -9.65865294e+01 -9.65865294e+01 
 1.00000000e+06 -9.66031997e+01 -9.66031997e+01 
