 frequency       Hph1magdB       Hph2magdB      
 6.76082975e+04 -4.33935683e+01 -4.33935683e+01 
 6.91830971e+04 -4.28514589e+01 -4.28514589e+01 
 7.07945784e+04 -4.23985626e+01 -4.23985626e+01 
 7.24435960e+04 -4.20187034e+01 -4.20187034e+01 
 7.41310241e+04 -4.16996702e+01 -4.16996702e+01 
 7.58577575e+04 -4.14320192e+01 -4.14320192e+01 
 7.76247117e+04 -4.12082974e+01 -4.12082974e+01 
 7.94328235e+04 -4.10225200e+01 -4.10225200e+01 
 8.12830516e+04 -4.08698092e+01 -4.08698092e+01 
 8.31763771e+04 -4.07461375e+01 -4.07461375e+01 
 8.51138038e+04 -4.06481414e+01 -4.06481414e+01 
 8.70963590e+04 -4.05729830e+01 -4.05729830e+01 
 8.91250938e+04 -4.05182469e+01 -4.05182469e+01 
 9.12010839e+04 -4.04818597e+01 -4.04818597e+01 
 9.33254301e+04 -4.04620295e+01 -4.04620295e+01 
 9.54992586e+04 -4.04571966e+01 -4.04571966e+01 
 9.77237221e+04 -4.04659956e+01 -4.04659956e+01 
 1.00000000e+05 -4.04872247e+01 -4.04872247e+01 
 1.02329299e+05 -4.05198202e+01 -4.05198202e+01 
 1.04712855e+05 -4.05628368e+01 -4.05628368e+01 
 1.07151931e+05 -4.06154304e+01 -4.06154304e+01 
 1.09647820e+05 -4.06768443e+01 -4.06768443e+01 
 1.12201845e+05 -4.07463979e+01 -4.07463979e+01 
 1.14815362e+05 -4.08234763e+01 -4.08234763e+01 
 1.17489755e+05 -4.09075227e+01 -4.09075227e+01 
 1.20226443e+05 -4.09980313e+01 -4.09980313e+01 
 1.23026877e+05 -4.10945409e+01 -4.10945409e+01 
 1.25892541e+05 -4.11966303e+01 -4.11966303e+01 
 1.28824955e+05 -4.13039133e+01 -4.13039133e+01 
 1.31825674e+05 -4.14160356e+01 -4.14160356e+01 
 1.34896288e+05 -4.15326707e+01 -4.15326707e+01 
 1.38038426e+05 -4.16535174e+01 -4.16535174e+01 
 1.41253754e+05 -4.17782973e+01 -4.17782973e+01 
 1.44543977e+05 -4.19067525e+01 -4.19067525e+01 
 1.47910839e+05 -4.20386432e+01 -4.20386432e+01 
 1.51356125e+05 -4.21737467e+01 -4.21737467e+01 
 1.54881662e+05 -4.23118551e+01 -4.23118551e+01 
 1.58489319e+05 -4.24527744e+01 -4.24527744e+01 
 1.62181010e+05 -4.25963232e+01 -4.25963232e+01 
 1.65958691e+05 -4.27423311e+01 -4.27423311e+01 
 1.69824365e+05 -4.28906386e+01 -4.28906386e+01 
 1.73780083e+05 -4.30410952e+01 -4.30410952e+01 
 1.77827941e+05 -4.31935593e+01 -4.31935593e+01 
 1.81970086e+05 -4.33478971e+01 -4.33478971e+01 
 1.86208714e+05 -4.35039822e+01 -4.35039822e+01 
 1.90546072e+05 -4.36616946e+01 -4.36616946e+01 
 1.94984460e+05 -4.38209205e+01 -4.38209205e+01 
 1.99526231e+05 -4.39815516e+01 -4.39815516e+01 
 2.04173794e+05 -4.41434846e+01 -4.41434846e+01 
 2.08929613e+05 -4.43066209e+01 -4.43066209e+01 
 2.13796209e+05 -4.44708663e+01 -4.44708663e+01 
 2.18776162e+05 -4.46361301e+01 -4.46361301e+01 
 2.23872114e+05 -4.48023253e+01 -4.48023253e+01 
 2.29086765e+05 -4.49693680e+01 -4.49693680e+01 
 2.34422882e+05 -4.51371774e+01 -4.51371774e+01 
 2.39883292e+05 -4.53056750e+01 -4.53056750e+01 
 2.45470892e+05 -4.54747847e+01 -4.54747847e+01 
