 frequency       Hph1magdB       Hph2magdB      
 2.18776162e+05 -4.15797012e+01 -4.15797012e+01 
 2.23872114e+05 -4.19635641e+01 -4.19635641e+01 
 2.29086765e+05 -4.23466508e+01 -4.23466508e+01 
 2.34422882e+05 -4.27289246e+01 -4.27289246e+01 
 2.39883292e+05 -4.31103465e+01 -4.31103465e+01 
 2.45470892e+05 -4.34908761e+01 -4.34908761e+01 
 2.51188643e+05 -4.38704705e+01 -4.38704705e+01 
 2.57039578e+05 -4.42490852e+01 -4.42490852e+01 
 2.63026799e+05 -4.46266731e+01 -4.46266731e+01 
 2.69153480e+05 -4.50031849e+01 -4.50031849e+01 
 2.75422870e+05 -4.53785691e+01 -4.53785691e+01 
 2.81838293e+05 -4.57527712e+01 -4.57527712e+01 
 2.88403150e+05 -4.61257343e+01 -4.61257343e+01 
 2.95120923e+05 -4.64973987e+01 -4.64973987e+01 
 3.01995172e+05 -4.68677015e+01 -4.68677015e+01 
 3.09029543e+05 -4.72365768e+01 -4.72365768e+01 
 3.16227766e+05 -4.76039554e+01 -4.76039554e+01 
 3.23593657e+05 -4.79697645e+01 -4.79697645e+01 
 3.31131121e+05 -4.83339277e+01 -4.83339277e+01 
 3.38844156e+05 -4.86963647e+01 -4.86963647e+01 
 3.46736850e+05 -4.90569911e+01 -4.90569911e+01 
 3.54813389e+05 -4.94157183e+01 -4.94157183e+01 
 3.63078055e+05 -4.97724531e+01 -4.97724531e+01 
 3.71535229e+05 -5.01270975e+01 -5.01270975e+01 
 3.80189396e+05 -5.04795483e+01 -5.04795483e+01 
 3.89045145e+05 -5.08296972e+01 -5.08296972e+01 
 3.98107171e+05 -5.11774301e+01 -5.11774301e+01 
 4.07380278e+05 -5.15226271e+01 -5.15226271e+01 
 4.16869383e+05 -5.18651617e+01 -5.18651617e+01 
 4.26579519e+05 -5.22049011e+01 -5.22049011e+01 
 4.36515832e+05 -5.25417050e+01 -5.25417050e+01 
 4.46683592e+05 -5.28754261e+01 -5.28754261e+01 
 4.57088190e+05 -5.32059088e+01 -5.32059088e+01 
 4.67735141e+05 -5.35329893e+01 -5.35329893e+01 
 4.78630092e+05 -5.38564947e+01 -5.38564947e+01 
 4.89778819e+05 -5.41762429e+01 -5.41762429e+01 
 5.01187234e+05 -5.44920415e+01 -5.44920415e+01 
 5.12861384e+05 -5.48036876e+01 -5.48036876e+01 
 5.24807460e+05 -5.51109668e+01 -5.51109668e+01 
 5.37031796e+05 -5.54136527e+01 -5.54136527e+01 
 5.49540874e+05 -5.57115058e+01 -5.57115058e+01 
 5.62341325e+05 -5.60042731e+01 -5.60042731e+01 
 5.75439937e+05 -5.62916868e+01 -5.62916868e+01 
 5.88843655e+05 -5.65734633e+01 -5.65734633e+01 
 6.02559586e+05 -5.68493024e+01 -5.68493024e+01 
 6.16595002e+05 -5.71188858e+01 -5.71188858e+01 
 6.30957344e+05 -5.73818759e+01 -5.73818759e+01 
 6.45654229e+05 -5.76379145e+01 -5.76379145e+01 
 6.60693448e+05 -5.78866210e+01 -5.78866210e+01 
 6.76082975e+05 -5.81275912e+01 -5.81275912e+01 
 6.91830971e+05 -5.83603946e+01 -5.83603946e+01 
 7.07945784e+05 -5.85845733e+01 -5.85845733e+01 
 7.24435960e+05 -5.87996391e+01 -5.87996391e+01 
 7.41310241e+05 -5.90050711e+01 -5.90050711e+01 
 7.58577575e+05 -5.92003131e+01 -5.92003131e+01 
 7.76247117e+05 -5.93847705e+01 -5.93847705e+01 
 7.94328235e+05 -5.95578067e+01 -5.95578067e+01 
 8.12830516e+05 -5.97187395e+01 -5.97187395e+01 
 8.31763771e+05 -5.98668365e+01 -5.98668365e+01 
 8.51138038e+05 -6.00013105e+01 -6.00013105e+01 
 8.70963590e+05 -6.01213141e+01 -6.01213141e+01 
 8.91250938e+05 -6.02259333e+01 -6.02259333e+01 
 9.12010839e+05 -6.03141804e+01 -6.03141804e+01 
 9.33254301e+05 -6.03849867e+01 -6.03849867e+01 
 9.54992586e+05 -6.04371921e+01 -6.04371921e+01 
 9.77237221e+05 -6.04695359e+01 -6.04695359e+01 
 1.00000000e+06 -6.04806433e+01 -6.04806433e+01 
