 time            Vin             Vout           
 2.58631164e-06  7.90000000e-01  2.80545925e-01 
 2.58731164e-06  7.90000000e-01  2.80545960e-01 
 2.58831164e-06  7.90000000e-01  2.80545995e-01 
 2.58931164e-06  7.90000000e-01  2.80546029e-01 
 2.59031164e-06  7.90000000e-01  2.80546064e-01 
 2.59131164e-06  7.90000000e-01  2.80546099e-01 
 2.59231164e-06  7.90000000e-01  2.80546133e-01 
 2.59331164e-06  7.90000000e-01  2.80546168e-01 
 2.59431164e-06  7.90000000e-01  2.80546202e-01 
 2.59531164e-06  7.90000000e-01  2.80546236e-01 
 2.59631164e-06  7.90000000e-01  2.80546270e-01 
 2.59731164e-06  7.90000000e-01  2.80546304e-01 
 2.59831164e-06  7.90000000e-01  2.80546338e-01 
 2.59931164e-06  7.90000000e-01  2.80546372e-01 
 2.60031164e-06  7.90000000e-01  2.80546406e-01 
 2.60131164e-06  7.90000000e-01  2.80546439e-01 
 2.60231164e-06  7.90000000e-01  2.80546473e-01 
 2.60331164e-06  7.90000000e-01  2.80546506e-01 
 2.60431164e-06  7.90000000e-01  2.80546539e-01 
 2.60531164e-06  7.90000000e-01  2.80546573e-01 
 2.60631164e-06  7.90000000e-01  2.80546606e-01 
 2.60731164e-06  7.90000000e-01  2.80546639e-01 
 2.60831164e-06  7.90000000e-01  2.80546671e-01 
 2.60931164e-06  7.90000000e-01  2.80546704e-01 
 2.61031164e-06  7.90000000e-01  2.80546737e-01 
 2.61131164e-06  7.90000000e-01  2.80546769e-01 
 2.61231164e-06  7.90000000e-01  2.80546802e-01 
 2.61331164e-06  7.90000000e-01  2.80546834e-01 
 2.61431164e-06  7.90000000e-01  2.80546866e-01 
 2.61531164e-06  7.90000000e-01  2.80546899e-01 
 2.61631164e-06  7.90000000e-01  2.80546931e-01 
 2.61731164e-06  7.90000000e-01  2.80546962e-01 
 2.61831164e-06  7.90000000e-01  2.80546994e-01 
 2.61931164e-06  7.90000000e-01  2.80547026e-01 
 2.62031164e-06  7.90000000e-01  2.80547057e-01 
 2.62131164e-06  7.90000000e-01  2.80547089e-01 
 2.62231164e-06  7.90000000e-01  2.80547120e-01 
 2.62331164e-06  7.90000000e-01  2.80547151e-01 
 2.62431164e-06  7.90000000e-01  2.80547183e-01 
 2.62531164e-06  7.90000000e-01  2.80547214e-01 
 2.62631164e-06  7.90000000e-01  2.80547244e-01 
 2.62731164e-06  7.90000000e-01  2.80547275e-01 
 2.62831164e-06  7.90000000e-01  2.80547306e-01 
 2.62931164e-06  7.90000000e-01  2.80547336e-01 
 2.63031164e-06  7.90000000e-01  2.80547367e-01 
 2.63131164e-06  7.90000000e-01  2.80547397e-01 
 2.63231164e-06  7.90000000e-01  2.80547427e-01 
