 frequency       H1magdB         H1delay         H2magdB         H2delay         H3magdB         H3delay         H4magdB         H4delay         H5magdB         H5delay        
 1.67880402e-01  0.00000000e+00  4.67489349e-01  0.00000000e+00  4.99737495e-01  0.00000000e+00  4.99999263e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.69824365e-01 -9.64327467e-16  4.66782395e-01 -9.64327467e-16  4.99725275e-01  0.00000000e+00  4.99999210e-01  0.00000000e+00  4.99999999e-01 -9.64327467e-16  5.00000000e-01 
 1.71790839e-01  0.00000000e+00  4.66061186e-01  0.00000000e+00  4.99712490e-01  0.00000000e+00  4.99999154e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.73780083e-01 -9.64327467e-16  4.65325480e-01  0.00000000e+00  4.99699115e-01  0.00000000e+00  4.99999094e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.75792361e-01 -9.64327467e-16  4.64575039e-01  0.00000000e+00  4.99685121e-01  0.00000000e+00  4.99999029e-01  0.00000000e+00  4.99999998e-01  0.00000000e+00  5.00000000e-01 
 1.77827941e-01  0.00000000e+00  4.63809620e-01  0.00000000e+00  4.99670481e-01  0.00000000e+00  4.99998960e-01  0.00000000e+00  4.99999998e-01  0.00000000e+00  5.00000000e-01 
 1.79887092e-01  0.00000000e+00  4.63028979e-01  0.00000000e+00  4.99655166e-01  0.00000000e+00  4.99998886e-01  0.00000000e+00  4.99999998e-01  0.00000000e+00  5.00000000e-01 
 1.81970086e-01  0.00000000e+00  4.62232871e-01  0.00000000e+00  4.99639144e-01  0.00000000e+00  4.99998807e-01  0.00000000e+00  4.99999998e-01  0.00000000e+00  5.00000000e-01 
 1.84077200e-01  0.00000000e+00  4.61421048e-01 -9.64327467e-16  4.99622383e-01  0.00000000e+00  4.99998722e-01  0.00000000e+00  4.99999998e-01  0.00000000e+00  5.00000000e-01 
 1.86208714e-01  0.00000000e+00  4.60593263e-01 -9.64327467e-16  4.99604850e-01  0.00000000e+00  4.99998631e-01 -9.64327467e-16  4.99999998e-01  0.00000000e+00  5.00000000e-01 
 1.88364909e-01 -9.64327467e-16  4.59749266e-01  0.00000000e+00  4.99586510e-01  0.00000000e+00  4.99998534e-01  0.00000000e+00  4.99999997e-01  0.00000000e+00  5.00000000e-01 
 1.90546072e-01  0.00000000e+00  4.58888806e-01  0.00000000e+00  4.99567325e-01  0.00000000e+00  4.99998430e-01  0.00000000e+00  4.99999997e-01  0.00000000e+00  5.00000000e-01 
 1.92752491e-01 -9.64327467e-16  4.58011631e-01  0.00000000e+00  4.99547258e-01  0.00000000e+00  4.99998318e-01  0.00000000e+00  4.99999997e-01  0.00000000e+00  5.00000000e-01 
 1.94984460e-01  0.00000000e+00  4.57117490e-01 -9.64327467e-16  4.99526268e-01  0.00000000e+00  4.99998199e-01  0.00000000e+00  4.99999997e-01  0.00000000e+00  5.00000000e-01 
 1.97242274e-01  0.00000000e+00  4.56206129e-01  0.00000000e+00  4.99504314e-01  0.00000000e+00  4.99998071e-01  0.00000000e+00  4.99999996e-01  0.00000000e+00  5.00000000e-01 
 1.99526231e-01  0.00000000e+00  4.55277294e-01  0.00000000e+00  4.99481351e-01  0.00000000e+00  4.99997934e-01  0.00000000e+00  4.99999996e-01  0.00000000e+00  5.00000000e-01 
 2.01836636e-01 -9.64327467e-16  4.54330732e-01  0.00000000e+00  4.99457335e-01  0.00000000e+00  4.99997787e-01  0.00000000e+00  4.99999995e-01  0.00000000e+00  5.00000000e-01 
 2.04173794e-01  0.00000000e+00  4.53366189e-01  0.00000000e+00  4.99432218e-01  0.00000000e+00  4.99997630e-01  0.00000000e+00  4.99999995e-01  0.00000000e+00  5.00000000e-01 
 2.06538016e-01 -9.64327467e-16  4.52383409e-01  0.00000000e+00  4.99405949e-01  0.00000000e+00  4.99997461e-01  0.00000000e+00  4.99999995e-01  0.00000000e+00  5.00000000e-01 
 2.08929613e-01 -9.64327467e-16  4.51382139e-01  0.00000000e+00  4.99378477e-01  0.00000000e+00  4.99997281e-01  0.00000000e+00  4.99999994e-01  0.00000000e+00  5.00000000e-01 
 2.11348904e-01  0.00000000e+00  4.50362125e-01  0.00000000e+00  4.99349748e-01  0.00000000e+00  4.99997088e-01  0.00000000e+00  4.99999993e-01  0.00000000e+00  5.00000000e-01 
 2.13796209e-01  0.00000000e+00  4.49323114e-01  0.00000000e+00  4.99319706e-01  0.00000000e+00  4.99996881e-01  0.00000000e+00  4.99999993e-01  0.00000000e+00  5.00000000e-01 
 2.16271852e-01  0.00000000e+00  4.48264853e-01  0.00000000e+00  4.99288290e-01  0.00000000e+00  4.99996660e-01 -9.64327467e-16  4.99999992e-01  0.00000000e+00  5.00000000e-01 
 2.18776162e-01  0.00000000e+00  4.47187091e-01  0.00000000e+00  4.99255440e-01  0.00000000e+00  4.99996423e-01  0.00000000e+00  4.99999991e-01  0.00000000e+00  5.00000000e-01 
 2.21309471e-01  0.00000000e+00  4.46089577e-01  0.00000000e+00  4.99221091e-01  0.00000000e+00  4.99996170e-01  0.00000000e+00  4.99999990e-01  0.00000000e+00  5.00000000e-01 
 2.23872114e-01  0.00000000e+00  4.44972062e-01  0.00000000e+00  4.99185176e-01  0.00000000e+00  4.99995898e-01  0.00000000e+00  4.99999990e-01  0.00000000e+00  5.00000000e-01 
 2.26464431e-01  0.00000000e+00  4.43834299e-01  0.00000000e+00  4.99147625e-01  0.00000000e+00  4.99995607e-01  0.00000000e+00  4.99999989e-01  0.00000000e+00  5.00000000e-01 
 2.29086765e-01  0.00000000e+00  4.42676043e-01  0.00000000e+00  4.99108365e-01 -9.64327467e-16  4.99995296e-01 -9.64327467e-16  4.99999987e-01  0.00000000e+00  5.00000000e-01 
 2.31739465e-01  0.00000000e+00  4.41497050e-01  0.00000000e+00  4.99067320e-01  0.00000000e+00  4.99994962e-01 -9.64327467e-16  4.99999986e-01  0.00000000e+00  5.00000000e-01 
 2.34422882e-01  0.00000000e+00  4.40297079e-01  0.00000000e+00  4.99024410e-01  0.00000000e+00  4.99994605e-01  0.00000000e+00  4.99999985e-01  0.00000000e+00  5.00000000e-01 
