 frequency       Youtmag         Youtphdeg      
 7.25598736e+05  7.59280821e-05  3.69707305e+01 
 7.33958732e+05  7.62462640e-05  3.72872048e+01 
 7.42415048e+05  7.65684575e-05  3.76026958e+01 
 7.50968794e+05  7.68981041e-05  3.79204603e+01 
 7.59621092e+05  7.72347070e-05  3.82398439e+01 
 7.68373077e+05  7.75760110e-05  3.85585976e+01 
 7.77225899e+05  7.79255403e-05  3.88798802e+01 
 7.86180718e+05  7.82798524e-05  3.92003966e+01 
 7.95238711e+05  7.86413333e-05  3.95222023e+01 
 8.04401065e+05  7.90100457e-05  3.98452017e+01 
 8.13668983e+05  7.93842492e-05  4.01677588e+01 
 8.23043682e+05  7.97663875e-05  4.04918581e+01 
 8.32526392e+05  8.01565323e-05  4.08173914e+01 
 8.42118357e+05  8.05504649e-05  4.11407586e+01 
 8.51820836e+05  8.09537217e-05  4.14664019e+01 
 8.61635102e+05  8.13639120e-05  4.17922297e+01 
 8.71562443e+05  8.17817038e-05  4.21186505e+01 
 8.81604162e+05  8.22077796e-05  4.24460538e+01 
 8.91761577e+05  8.26409391e-05  4.27733884e+01 
 9.02036021e+05  8.30818585e-05  4.31010508e+01 
 9.12428842e+05  8.35293076e-05  4.34280270e+01 
 9.22941404e+05  8.39852445e-05  4.37556390e+01 
 9.33575087e+05  8.44503767e-05  4.40842417e+01 
 9.44331286e+05  8.49215149e-05  4.44114784e+01 
 9.55211412e+05  8.54026033e-05  4.47399760e+01 
 9.66216894e+05  8.58924013e-05  4.50687320e+01 
 9.77349176e+05  8.63883104e-05  4.53959181e+01 
 9.88609719e+05  8.68950058e-05  4.57245037e+01 
 1.00000000e+06  8.74085489e-05  4.60518110e+01 
 1.01152151e+06  8.79323272e-05  4.63798899e+01 
 1.02317577e+06  8.84664109e-05  4.67086229e+01 
 1.03496431e+06  8.90054163e-05  4.70346259e+01 
 1.04688866e+06  8.95582300e-05  4.73631520e+01 
 1.05895041e+06  9.01173956e-05  4.76896297e+01 
 1.07115112e+06  9.06863736e-05  4.80160069e+01 
 1.08349240e+06  9.12652154e-05  4.83421904e+01 
 1.09597588e+06  9.18532715e-05  4.86677053e+01 
 1.10860318e+06  9.24512825e-05  4.89928560e+01 
 1.12137597e+06  9.30607073e-05  4.93183028e+01 
 1.13429592e+06  9.36780633e-05  4.96420869e+01 
 1.14736472e+06  9.43076413e-05  4.99663531e+01 
 1.16058410e+06  9.49444985e-05  5.02884631e+01 
 1.17395579e+06  9.55936731e-05  5.06108762e+01 
 1.18748154e+06  9.62537876e-05  5.09327735e+01 
 1.20116312e+06  9.69234359e-05  5.12533771e+01 
 1.21500234e+06  9.76033730e-05  5.15729695e+01 
 1.22900101e+06  9.82950984e-05  5.18921509e+01 
 1.24316096e+06  9.89979272e-05  5.22104952e+01 
 1.25748406e+06  9.97111602e-05  5.25275978e+01 
 1.27197218e+06  1.00437795e-04  5.28446795e+01 
 1.28662722e+06  1.01173425e-04  5.31597268e+01 
 1.30145112e+06  1.01923295e-04  5.34748910e+01 
 1.31644581e+06  1.02681464e-04  5.37875916e+01 
 1.33161325e+06  1.03453208e-04  5.40999339e+01 
 1.34695546e+06  1.04235554e-04  5.44106213e+01 
 1.36247442e+06  1.05033844e-04  5.47216594e+01 
 1.37817219e+06  1.05839762e-04  5.50297302e+01 
 1.39405082e+06  1.06659417e-04  5.53371202e+01 
